,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem,added_util
559,NeuMF,MovieLens,1,64,1,0.886,NeuMF,MovieLens,1,128,1,1.034,17.952,3.766,4122,19.6655
562,NeuMF,MovieLens,1,128,1,0.987,NeuMF,MovieLens,1,128,1,0.914,18.557,3.885,4122,19.781
1057,PointNet,ShapeNet,1,128,1,0.897,TD3,BipedalWalker,1,128,0,1,19.966,5.746,9032,19.926
343,PointNet,ShapeNet,1,32,0,0.987,PointNet,ShapeNet,1,128,0,0.911,18.61,15.508,14464,20.0445
1045,PointNet,ShapeNet,1,32,1,0.943,TD3,BipedalWalker,1,128,0,1,23.351,6.571,5390,20.067
554,NeuMF,MovieLens,1,64,0,0.984,NeuMF,MovieLens,1,64,1,0.914,16.867,3.608,4122,20.2665
1055,PointNet,ShapeNet,1,128,1,0.93,TD3,BipedalWalker,1,64,0,1,21.183,7.15,9032,20.327
558,NeuMF,MovieLens,1,64,1,0.996,NeuMF,MovieLens,1,128,0,0.932,18.495,3.874,4122,20.3745
557,NeuMF,MovieLens,1,64,0,0.939,NeuMF,MovieLens,1,128,1,0.902,16.331,3.5,4122,20.382
1043,PointNet,ShapeNet,1,32,1,0.994,TD3,BipedalWalker,1,64,0,1,19.885,5.692,5390,20.468
561,NeuMF,MovieLens,1,128,0,0.902,NeuMF,MovieLens,1,128,1,0.93,17.308,3.608,4122,20.49
1051,PointNet,ShapeNet,1,64,1,0.987,TD3,BipedalWalker,1,128,0,1,22.887,6.736,6588,20.6
347,PointNet,ShapeNet,1,64,0,0.973,PointNet,ShapeNet,1,64,0,0.971,16.761,14.627,13496,20.781
553,NeuMF,MovieLens,1,64,0,0.98,NeuMF,MovieLens,1,64,0,0.986,20.724,4.816,4122,20.983
359,PointNet,ShapeNet,1,32,0,0.999,PPO,LunarLander,1,64,0,1,26.301,9.548,6016,20.997
1049,PointNet,ShapeNet,1,64,1,0.976,TD3,BipedalWalker,1,64,0,1,21.207,5.598,6588,21.001
374,PointNet,ShapeNet,1,128,1,0.941,PPO,LunarLander,1,128,0,1,19.638,5.931,9024,21.072
556,NeuMF,MovieLens,1,64,0,0.859,NeuMF,MovieLens,1,128,0,0.963,18.43,4.05,4122,21.091
560,NeuMF,MovieLens,1,128,0,0.948,NeuMF,MovieLens,1,128,0,0.856,18.451,3.961,4122,21.199
362,PointNet,ShapeNet,1,32,1,0.99,PPO,LunarLander,1,128,0,1,21,5.419,5382,21.213
350,PointNet,ShapeNet,1,64,0,0.99,PointNet,ShapeNet,1,128,0,0.944,21.379,17.172,16842,21.454
357,PointNet,ShapeNet,1,32,0,0.999,PPO,LunarLander,1,32,0,1,25.652,9.758,6016,21.5685
1040,PointNet,ShapeNet,1,32,0,1.001,TD3,BipedalWalker,1,32,0,1,24.176,7.603,6024,21.5825
368,PointNet,ShapeNet,1,64,1,0.994,PPO,LunarLander,1,128,0,1,22.044,6.25,6580,21.746
354,PointNet,ShapeNet,1,128,0,0.954,PointNet,ShapeNet,1,128,0,0.977,18.5,15.018,20970,22.127
365,PointNet,ShapeNet,1,64,0,0.972,PPO,LunarLander,1,64,0,1,23.122,8.176,8394,22.4065
1044,PointNet,ShapeNet,1,32,0,0.947,TD3,BipedalWalker,1,128,0,1,23.125,6.375,6024,22.7445
363,PointNet,ShapeNet,1,64,0,0.963,PPO,LunarLander,1,32,0,1,22.241,6.835,8394,22.978
1046,PointNet,ShapeNet,1,64,0,1,TD3,BipedalWalker,1,32,0,1,26.707,10.466,8402,22.992
371,PointNet,ShapeNet,1,128,0,1.006,PPO,LunarLander,1,64,0,1,23.39,8.254,12522,23.0795
1042,PointNet,ShapeNet,1,32,0,1.008,TD3,BipedalWalker,1,64,0,1,25.07,7.772,6024,23.1455
369,PointNet,ShapeNet,1,128,0,0.937,PPO,LunarLander,1,32,0,1,23.343,7.866,12522,23.651
1052,PointNet,ShapeNet,1,128,0,0.948,TD3,BipedalWalker,1,32,0,1,22.617,8.4,12530,23.665
361,PointNet,ShapeNet,1,32,0,1.005,PPO,LunarLander,1,128,0,1,24.573,8.307,6016,23.8905
1169,PPO,LunarLander,1,64,0,1,PPO,LunarLander,1,64,0,1,22.818,0.026,4074,24.032
