Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
115,MobileNetV3,ImageNet,2,32,1,1145.326,VGG,CIFAR-10,2,64,1,5068.544,25.899,6.485,5052
116,MobileNetV3,ImageNet,2,32,0,1343.734,VGG,CIFAR-10,2,128,0,10301.027,34.434,12.515,4956
117,MobileNetV3,ImageNet,2,32,0,1245.382,VGG,CIFAR-10,2,128,1,9484.135,29.131,8.101,5958
118,MobileNetV3,ImageNet,2,32,1,1224.584,VGG,CIFAR-10,2,128,0,10310.443,34.333,13.152,5824
119,MobileNetV3,ImageNet,2,32,1,1203.769,VGG,CIFAR-10,2,128,1,9782.652,29.267,8.327,4854
120,MobileNetV3,ImageNet,2,64,0,2511.411,VGG,CIFAR-10,2,32,0,2708.081,27.683,6.03,5972
121,MobileNetV3,ImageNet,2,64,0,2688.503,VGG,CIFAR-10,2,32,1,2573.859,25.713,6.653,5986
122,MobileNetV3,ImageNet,2,64,1,2336.757,VGG,CIFAR-10,2,32,0,2677.113,26.825,6.206,5700
123,MobileNetV3,ImageNet,2,64,1,2507.438,VGG,CIFAR-10,2,32,1,2523.794,24.196,5.423,5630
124,MobileNetV3,ImageNet,2,64,0,2565.571,VGG,CIFAR-10,2,64,0,5445.685,30.748,9.282,5004
125,MobileNetV3,ImageNet,2,64,0,2884.063,VGG,CIFAR-10,2,64,1,4989.283,26.282,7.262,5462
126,MobileNetV3,ImageNet,2,64,1,2279.898,VGG,CIFAR-10,2,64,0,5436.528,30.182,8.444,5764
127,MobileNetV3,ImageNet,2,64,1,2371.355,VGG,CIFAR-10,2,64,1,4929.225,26.566,6.848,5168
128,MobileNetV3,ImageNet,2,64,0,2641.49,VGG,CIFAR-10,2,128,0,10288.389,35.0,13.228,5038
129,MobileNetV3,ImageNet,2,64,0,2717.21,VGG,CIFAR-10,2,128,1,9646.807,30.311,9.243,5100
130,MobileNetV3,ImageNet,2,64,1,2348.678,VGG,CIFAR-10,2,128,0,10409.522,34.653,12.901,4760
131,MobileNetV3,ImageNet,2,64,1,2358.225,VGG,CIFAR-10,2,128,1,9215.373,28.951,8.33,4856
132,MobileNetV3,ImageNet,2,128,0,5205.787,VGG,CIFAR-10,2,32,0,2703.992,28.818,7.505,6598
133,MobileNetV3,ImageNet,2,128,0,5081.725,VGG,CIFAR-10,2,32,1,2527.173,27.646,7.727,6508
134,MobileNetV3,ImageNet,2,128,1,4554.471,VGG,CIFAR-10,2,32,0,2749.661,26.929,6.566,6062
135,MobileNetV3,ImageNet,2,128,1,4630.137,VGG,CIFAR-10,2,32,1,2634.269,26.792,6.436,5906
136,MobileNetV3,ImageNet,2,128,0,5237.272,VGG,CIFAR-10,2,64,0,5365.06,32.069,10.406,6644
137,MobileNetV3,ImageNet,2,128,0,5157.488,VGG,CIFAR-10,2,64,1,4890.108,28.0,8.273,6070
138,MobileNetV3,ImageNet,2,128,1,4669.651,VGG,CIFAR-10,2,64,0,5289.968,30.121,8.626,5080
139,MobileNetV3,ImageNet,2,128,1,4745.404,VGG,CIFAR-10,2,64,1,4870.873,26.175,6.866,5598
140,MobileNetV3,ImageNet,2,128,0,5254.367,VGG,CIFAR-10,2,128,0,10666.853,38.386,14.317,5960
141,MobileNetV3,ImageNet,2,128,0,5294.877,VGG,CIFAR-10,2,128,1,9441.559,30.021,9.432,5730
142,MobileNetV3,ImageNet,2,128,1,,VGG,CIFAR-10,2,128,0,10186.894,33.591,12.387,6316
143,MobileNetV3,ImageNet,2,128,1,4579.864,VGG,CIFAR-10,2,128,1,9350.589,28.723,8.317,5322
0,MobileNetV3,ImageNet,2,32,0,1352.98,DCGAN,LSUN,2,32,0,1668.727,26.152,5.556,5046
1,MobileNetV3,ImageNet,2,32,0,1341.628,DCGAN,LSUN,2,32,1,1395.73,21.66,3.897,5144
