Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
32,PointNet,ShapeNet,1,128,0,124.656,DCGAN,LSUN,1,128,0,3821.312,89.018,40.526,15156
33,PointNet,ShapeNet,1,128,0,119.138,DCGAN,LSUN,1,128,1,5234.376,64.966,32.069,13186
34,PointNet,ShapeNet,1,128,1,128.526,DCGAN,LSUN,1,128,0,3946.085,85.361,35.213,10094
35,PointNet,ShapeNet,1,128,1,119.996,DCGAN,LSUN,1,128,1,5524.18,62.194,31.097,9688
0,PPO,LunarLander,1,32,0,2.823,LSTM,Wikitext2,1,64,0,4477.275,99.115,73.393,5932
1,PPO,LunarLander,1,32,0,3.849,LSTM,Wikitext2,1,64,1,4365.994,65.662,48.544,5798
2,PPO,LunarLander,1,32,0,3.569,LSTM,Wikitext2,1,128,0,3920.699,67.627,51.075,7664
3,PPO,LunarLander,1,32,0,2.997,LSTM,Wikitext2,1,128,1,4361.296,67.836,54.818,7368
4,PPO,LunarLander,1,64,0,9.628,LSTM,Wikitext2,1,64,0,4376.787,89.203,63.957,5932
5,PPO,LunarLander,1,64,0,10.657,LSTM,Wikitext2,1,64,1,4364.424,74.322,56.814,5798
6,PPO,LunarLander,1,64,0,10.163,LSTM,Wikitext2,1,128,0,3888.128,74.864,57.39,7664
7,PPO,LunarLander,1,64,0,10.648,LSTM,Wikitext2,1,128,1,4142.762,65.255,51.491,7368
8,PPO,LunarLander,1,128,0,25.302,LSTM,Wikitext2,1,64,0,4381.374,95.778,68.714,5932
9,PPO,LunarLander,1,128,0,31.317,LSTM,Wikitext2,1,64,1,4606.252,78.583,60.7,5798
10,PPO,LunarLander,1,128,0,29.546,LSTM,Wikitext2,1,128,0,3862.426,73.311,56.475,7664
11,PPO,LunarLander,1,128,0,31.687,LSTM,Wikitext2,1,128,1,4350.76,69.589,55.357,7368
0,ResNet18,CIFAR-10,1,32,0,1728.203,DCGAN,LSUN,1,32,0,1683.733,90.066,46.171,4846
1,ResNet18,CIFAR-10,1,32,0,1743.042,DCGAN,LSUN,1,32,1,1405.237,73.0,37.276,5130
2,ResNet18,CIFAR-10,1,32,1,1298.264,DCGAN,LSUN,1,32,0,1851.832,84.934,34.697,4810
3,ResNet18,CIFAR-10,1,32,1,1339.835,DCGAN,LSUN,1,32,1,1436.315,57.547,28.28,5674
4,ResNet18,CIFAR-10,1,32,0,1441.894,DCGAN,LSUN,1,64,0,2678.234,98.133,48.8,4956
5,ResNet18,CIFAR-10,1,32,0,1796.086,DCGAN,LSUN,1,64,1,2600.161,81.197,41.368,4718
6,ResNet18,CIFAR-10,1,32,1,1326.203,DCGAN,LSUN,1,64,0,3252.226,94.684,46.421,4896
